trialnum,Orientation,TF,SF,Contrast
104,0,1,0.04,0.8
105,45,1,0.04,0.8
106,135,1,0.04,0.8
107,0,1,0.04,0.8
108,90,1,0.04,0.8
109,315,1,0.04,0.8
110,180,1,0.04,0.8
111,270,1,0.04,0.8
112,225,1,0.04,0.8
113,315,1,0.04,0.8
114,225,1,0.04,0.8
115,0,1,0.04,0.8
116,90,1,0.04,0.8
117,135,1,0.04,0.8
118,45,1,0.04,0.8
119,270,1,0.04,0.8
120,180,1,0.04,0.8
121,0,1,0.04,0.8
122,270,1,0.04,0.8
123,45,1,0.04,0.8
124,135,1,0.04,0.8
125,225,1,0.04,0.8
126,90,1,0.04,0.8
127,315,1,0.04,0.8
128,180,1,0.04,0.8
129,90,1,0.04,0.8
130,135,1,0.04,0.8
131,270,1,0.04,0.8
132,225,1,0.04,0.8
133,180,1,0.04,0.8
134,45,1,0.04,0.8
135,0,1,0.04,0.8
136,315,1,0.04,0.8
137,315,1,0.04,0.8
138,225,1,0.04,0.8
139,270,1,0.04,0.8
140,0,1,0.04,0.8
141,90,1,0.04,0.8
142,135,1,0.04,0.8
143,180,1,0.04,0.8
144,45,1,0.04,0.8
145,180,1,0.04,0.8
146,315,1,0.04,0.8
147,45,1,0.04,0.8
148,90,1,0.04,0.8
149,0,1,0.04,0.8
150,135,1,0.04,0.8
151,225,1,0.04,0.8
152,270,1,0.04,0.8
153,135,1,0.04,0.8
154,315,1,0.04,0.8
155,90,1,0.04,0.8
156,45,1,0.04,0.8
157,225,1,0.04,0.8
158,180,1,0.04,0.8
159,0,1,0.04,0.8
160,270,1,0.04,0.8
161,315,1,0.04,0.8
162,225,1,0.04,0.8
163,180,1,0.04,0.8
164,0,1,0.04,0.8
165,45,1,0.04,0.8
166,90,1,0.04,0.8
167,270,1,0.04,0.8
168,135,1,0.04,0.8
169,0,1,0.04,0.8
170,315,1,0.04,0.8
171,270,1,0.04,0.8
172,90,1,0.04,0.8
173,135,1,0.04,0.8
174,45,1,0.04,0.8
175,225,1,0.04,0.8
176,180,1,0.04,0.8
177,270,1,0.04,0.8
178,225,1,0.04,0.8
179,0,1,0.04,0.8
180,315,1,0.04,0.8
181,180,1,0.04,0.8
182,45,1,0.04,0.8
183,135,1,0.04,0.8
184,90,1,0.04,0.8
185,0,1,0.04,0.8
186,90,1,0.04,0.8
187,270,1,0.04,0.8
188,225,1,0.04,0.8
189,135,1,0.04,0.8
190,45,1,0.04,0.8
191,180,1,0.04,0.8
192,315,1,0.04,0.8
193,270,1,0.04,0.8
194,180,1,0.04,0.8
195,0,1,0.04,0.8
196,45,1,0.04,0.8
197,135,1,0.04,0.8
198,225,1,0.04,0.8
199,90,1,0.04,0.8
200,315,1,0.04,0.8
201,90,1,0.04,0.8
202,45,1,0.04,0.8
203,0,1,0.04,0.8
204,225,1,0.04,0.8
205,270,1,0.04,0.8
206,135,1,0.04,0.8
207,180,1,0.04,0.8
208,315,1,0.04,0.8
209,180,1,0.04,0.8
210,315,1,0.04,0.8
211,90,1,0.04,0.8
212,0,1,0.04,0.8
213,270,1,0.04,0.8
214,45,1,0.04,0.8
215,135,1,0.04,0.8
216,225,1,0.04,0.8
217,90,1,0.04,0.8
218,315,1,0.04,0.8
219,45,1,0.04,0.8
220,270,1,0.04,0.8
221,0,1,0.04,0.8
222,135,1,0.04,0.8
223,180,1,0.04,0.8
224,225,1,0.04,0.8
225,180,1,0.04,0.8
226,45,1,0.04,0.8
227,0,1,0.04,0.8
228,225,1,0.04,0.8
229,135,1,0.04,0.8
230,270,1,0.04,0.8
231,315,1,0.04,0.8
232,90,1,0.04,0.8
233,90,1,0.04,0.8
234,135,1,0.04,0.8
235,225,1,0.04,0.8
236,45,1,0.04,0.8
237,270,1,0.04,0.8
238,315,1,0.04,0.8
239,180,1,0.04,0.8
240,0,1,0.04,0.8
241,135,1,0.04,0.8
242,225,1,0.04,0.8
243,90,1,0.04,0.8
244,0,1,0.04,0.8
245,315,1,0.04,0.8
246,270,1,0.04,0.8
247,45,1,0.04,0.8
248,180,1,0.04,0.8
249,135,1,0.04,0.8
250,0,1,0.04,0.8
251,45,1,0.04,0.8
252,180,1,0.04,0.8
253,225,1,0.04,0.8
254,270,1,0.04,0.8
255,90,1,0.04,0.8
256,315,1,0.04,0.8
257,315,1,0.04,0.8
258,0,1,0.04,0.8
259,45,1,0.04,0.8
260,135,1,0.04,0.8
261,90,1,0.04,0.8
262,225,1,0.04,0.8
263,180,1,0.04,0.8
264,270,1,0.04,0.8
265,90,1,0.04,0.8
266,135,1,0.04,0.8
267,45,1,0.04,0.8
268,0,1,0.04,0.8
269,225,1,0.04,0.8
270,180,1,0.04,0.8
271,270,1,0.04,0.8
272,315,1,0.04,0.8
273,90,1,0.04,0.8
274,315,1,0.04,0.8
275,180,1,0.04,0.8
276,45,1,0.04,0.8
277,0,1,0.04,0.8
278,270,1,0.04,0.8
279,135,1,0.04,0.8
280,225,1,0.04,0.8
281,0,1,0.04,0.8
282,135,1,0.04,0.8
283,45,1,0.04,0.8
284,270,1,0.04,0.8
285,225,1,0.04,0.8
286,90,1,0.04,0.8
287,180,1,0.04,0.8
288,315,1,0.04,0.8
289,270,1,0.04,0.8
290,315,1,0.04,0.8
291,135,1,0.04,0.8
292,180,1,0.04,0.8
293,225,1,0.04,0.8
294,45,1,0.04,0.8
295,90,1,0.04,0.8
296,0,1,0.04,0.8
297,180,1,0.04,0.8
298,135,1,0.04,0.8
299,225,1,0.04,0.8
300,45,1,0.04,0.8
301,270,1,0.04,0.8
302,0,1,0.04,0.8
303,90,1,0.04,0.8
304,315,1,0.04,0.8
305,315,1,0.04,0.8
306,225,1,0.04,0.8
307,270,1,0.04,0.8
308,135,1,0.04,0.8
309,90,1,0.04,0.8
310,0,1,0.04,0.8
311,45,1,0.04,0.8
312,180,1,0.04,0.8
313,225,1,0.04,0.8
314,180,1,0.04,0.8
315,90,1,0.04,0.8
316,45,1,0.04,0.8
317,270,1,0.04,0.8
318,315,1,0.04,0.8
319,135,1,0.04,0.8
320,0,1,0.04,0.8
321,225,1,0.04,0.8
322,315,1,0.04,0.8
323,180,1,0.04,0.8
324,135,1,0.04,0.8
325,0,1,0.04,0.8
326,90,1,0.04,0.8
327,270,1,0.04,0.8
328,45,1,0.04,0.8
329,45,1,0.04,0.8
330,0,1,0.04,0.8
331,135,1,0.04,0.8
332,90,1,0.04,0.8
333,270,1,0.04,0.8
334,180,1,0.04,0.8
335,225,1,0.04,0.8
336,315,1,0.04,0.8
337,180,1,0.04,0.8
338,90,1,0.04,0.8
339,0,1,0.04,0.8
340,135,1,0.04,0.8
341,315,1,0.04,0.8
342,225,1,0.04,0.8
343,270,1,0.04,0.8
344,45,1,0.04,0.8
345,315,1,0.04,0.8
346,0,1,0.04,0.8
347,135,1,0.04,0.8
348,180,1,0.04,0.8
349,45,1,0.04,0.8
350,270,1,0.04,0.8
351,90,1,0.04,0.8
352,225,1,0.04,0.8
353,135,1,0.04,0.8
354,270,1,0.04,0.8
355,0,1,0.04,0.8
356,45,1,0.04,0.8
357,90,1,0.04,0.8
358,180,1,0.04,0.8
359,315,1,0.04,0.8
360,225,1,0.04,0.8
361,225,1,0.04,0.8
362,135,1,0.04,0.8
363,315,1,0.04,0.8
364,270,1,0.04,0.8
365,180,1,0.04,0.8
366,45,1,0.04,0.8
367,90,1,0.04,0.8
368,0,1,0.04,0.8
369,315,1,0.04,0.8
370,270,1,0.04,0.8
371,225,1,0.04,0.8
372,0,1,0.04,0.8
373,90,1,0.04,0.8
374,180,1,0.04,0.8
375,135,1,0.04,0.8
376,45,1,0.04,0.8
377,180,1,0.04,0.8
378,135,1,0.04,0.8
379,45,1,0.04,0.8
380,225,1,0.04,0.8
381,0,1,0.04,0.8
382,315,1,0.04,0.8
383,90,1,0.04,0.8
384,270,1,0.04,0.8
385,225,1,0.04,0.8
386,270,1,0.04,0.8
387,45,1,0.04,0.8
388,180,1,0.04,0.8
389,0,1,0.04,0.8
390,315,1,0.04,0.8
391,90,1,0.04,0.8
392,135,1,0.04,0.8
393,315,1,0.04,0.8
394,0,1,0.04,0.8
395,270,1,0.04,0.8
396,45,1,0.04,0.8
397,180,1,0.04,0.8
398,135,1,0.04,0.8
399,225,1,0.04,0.8
400,90,1,0.04,0.8
401,45,1,0.04,0.8
402,315,1,0.04,0.8
403,180,1,0.04,0.8
404,135,1,0.04,0.8
405,0,1,0.04,0.8
406,225,1,0.04,0.8
407,270,1,0.04,0.8
408,90,1,0.04,0.8
409,0,1,0.04,0.8
410,225,1,0.04,0.8
411,45,1,0.04,0.8
412,180,1,0.04,0.8
413,90,1,0.04,0.8
414,270,1,0.04,0.8
415,135,1,0.04,0.8
416,315,1,0.04,0.8
417,90,1,0.04,0.8
418,0,1,0.04,0.8
419,270,1,0.04,0.8
420,225,1,0.04,0.8
421,135,1,0.04,0.8
422,180,1,0.04,0.8
423,45,1,0.04,0.8
424,315,1,0.04,0.8
425,225,1,0.04,0.8
426,0,1,0.04,0.8
427,270,1,0.04,0.8
428,180,1,0.04,0.8
429,45,1,0.04,0.8
430,90,1,0.04,0.8
431,135,1,0.04,0.8
432,315,1,0.04,0.8
433,180,1,0.04,0.8
434,135,1,0.04,0.8
435,225,1,0.04,0.8
436,45,1,0.04,0.8
437,270,1,0.04,0.8
438,315,1,0.04,0.8
439,0,1,0.04,0.8
440,90,1,0.04,0.8
441,315,1,0.04,0.8
442,180,1,0.04,0.8
443,135,1,0.04,0.8
444,90,1,0.04,0.8
445,45,1,0.04,0.8
446,270,1,0.04,0.8
447,0,1,0.04,0.8
448,225,1,0.04,0.8
449,45,1,0.04,0.8
450,225,1,0.04,0.8
451,135,1,0.04,0.8
452,315,1,0.04,0.8
453,180,1,0.04,0.8
454,0,1,0.04,0.8
455,270,1,0.04,0.8
456,90,1,0.04,0.8
457,135,1,0.04,0.8
458,45,1,0.04,0.8
459,270,1,0.04,0.8
460,0,1,0.04,0.8
461,180,1,0.04,0.8
462,315,1,0.04,0.8
463,90,1,0.04,0.8
464,225,1,0.04,0.8
465,90,1,0.04,0.8
466,0,1,0.04,0.8
467,270,1,0.04,0.8
468,315,1,0.04,0.8
469,45,1,0.04,0.8
470,180,1,0.04,0.8
471,135,1,0.04,0.8
472,225,1,0.04,0.8
473,90,1,0.04,0.8
474,135,1,0.04,0.8
475,270,1,0.04,0.8
476,0,1,0.04,0.8
477,315,1,0.04,0.8
478,45,1,0.04,0.8
479,180,1,0.04,0.8
480,225,1,0.04,0.8
481,90,1,0.04,0.8
482,135,1,0.04,0.8
483,180,1,0.04,0.8
484,270,1,0.04,0.8
485,45,1,0.04,0.8
486,225,1,0.04,0.8
487,0,1,0.04,0.8
488,315,1,0.04,0.8
489,315,1,0.04,0.8
490,225,1,0.04,0.8
491,45,1,0.04,0.8
492,0,1,0.04,0.8
493,270,1,0.04,0.8
494,135,1,0.04,0.8
495,180,1,0.04,0.8
496,90,1,0.04,0.8
497,315,1,0.04,0.8
498,270,1,0.04,0.8
499,135,1,0.04,0.8
500,0,1,0.04,0.8
501,180,1,0.04,0.8
502,45,1,0.04,0.8
503,225,1,0.04,0.8
504,90,1,0.04,0.8
505,135,1,0.04,0.8
506,180,1,0.04,0.8
507,225,1,0.04,0.8
508,270,1,0.04,0.8
509,90,1,0.04,0.8
510,315,1,0.04,0.8
511,0,1,0.04,0.8
512,45,1,0.04,0.8
513,0,1,0.04,0.8
514,135,1,0.04,0.8
515,270,1,0.04,0.8
516,180,1,0.04,0.8
517,225,1,0.04,0.8
518,315,1,0.04,0.8
519,45,1,0.04,0.8
520,90,1,0.04,0.8
521,45,1,0.04,0.8
522,135,1,0.04,0.8
523,180,1,0.04,0.8
524,225,1,0.04,0.8
525,270,1,0.04,0.8
526,90,1,0.04,0.8
527,0,1,0.04,0.8
528,315,1,0.04,0.8
529,135,1,0.04,0.8
530,180,1,0.04,0.8
531,270,1,0.04,0.8
532,225,1,0.04,0.8
533,0,1,0.04,0.8
534,90,1,0.04,0.8
535,45,1,0.04,0.8
536,315,1,0.04,0.8
537,270,1,0.04,0.8
538,225,1,0.04,0.8
539,0,1,0.04,0.8
540,180,1,0.04,0.8
541,315,1,0.04,0.8
542,90,1,0.04,0.8
543,135,1,0.04,0.8
544,45,1,0.04,0.8
545,270,1,0.04,0.8
546,90,1,0.04,0.8
547,0,1,0.04,0.8
548,45,1,0.04,0.8
549,135,1,0.04,0.8
550,315,1,0.04,0.8
551,225,1,0.04,0.8
552,180,1,0.04,0.8
553,45,1,0.04,0.8
554,270,1,0.04,0.8
555,0,1,0.04,0.8
556,135,1,0.04,0.8
557,315,1,0.04,0.8
558,180,1,0.04,0.8
559,90,1,0.04,0.8
560,225,1,0.04,0.8
561,0,1,0.04,0.8
562,135,1,0.04,0.8
563,315,1,0.04,0.8
564,225,1,0.04,0.8
565,45,1,0.04,0.8
566,270,1,0.04,0.8
567,180,1,0.04,0.8
568,90,1,0.04,0.8
569,45,1,0.04,0.8
570,225,1,0.04,0.8
571,90,1,0.04,0.8
572,135,1,0.04,0.8
573,270,1,0.04,0.8
574,0,1,0.04,0.8
575,180,1,0.04,0.8
576,315,1,0.04,0.8
577,45,1,0.04,0.8
578,225,1,0.04,0.8
579,90,1,0.04,0.8
580,0,1,0.04,0.8
581,135,1,0.04,0.8
582,315,1,0.04,0.8
583,270,1,0.04,0.8
584,180,1,0.04,0.8
585,0,1,0.04,0.8
586,180,1,0.04,0.8
587,225,1,0.04,0.8
588,45,1,0.04,0.8
589,135,1,0.04,0.8
590,90,1,0.04,0.8
591,315,1,0.04,0.8
592,270,1,0.04,0.8
593,270,1,0.04,0.8
594,315,1,0.04,0.8
595,0,1,0.04,0.8
596,225,1,0.04,0.8
597,90,1,0.04,0.8
598,135,1,0.04,0.8
599,180,1,0.04,0.8
600,45,1,0.04,0.8
601,135,1,0.04,0.8
602,270,1,0.04,0.8
603,180,1,0.04,0.8
604,45,1,0.04,0.8
605,225,1,0.04,0.8
606,0,1,0.04,0.8
607,315,1,0.04,0.8
608,90,1,0.04,0.8
609,135,1,0.04,0.8
610,315,1,0.04,0.8
611,225,1,0.04,0.8
612,180,1,0.04,0.8
613,270,1,0.04,0.8
614,90,1,0.04,0.8
615,0,1,0.04,0.8
616,45,1,0.04,0.8
617,90,1,0.04,0.8
618,315,1,0.04,0.8
619,270,1,0.04,0.8
620,45,1,0.04,0.8
621,135,1,0.04,0.8
622,0,1,0.04,0.8
623,180,1,0.04,0.8
624,225,1,0.04,0.8
625,270,1,0.04,0.8
626,0,1,0.04,0.8
627,45,1,0.04,0.8
628,135,1,0.04,0.8
629,315,1,0.04,0.8
630,90,1,0.04,0.8
631,225,1,0.04,0.8
632,180,1,0.04,0.8
633,135,1,0.04,0.8
634,225,1,0.04,0.8
635,270,1,0.04,0.8
636,180,1,0.04,0.8
637,45,1,0.04,0.8
638,90,1,0.04,0.8
639,315,1,0.04,0.8
640,0,1,0.04,0.8
641,90,1,0.04,0.8
642,315,1,0.04,0.8
643,270,1,0.04,0.8
644,0,1,0.04,0.8
645,135,1,0.04,0.8
646,180,1,0.04,0.8
647,225,1,0.04,0.8
648,45,1,0.04,0.8
649,90,1,0.04,0.8
650,180,1,0.04,0.8
651,315,1,0.04,0.8
652,45,1,0.04,0.8
653,135,1,0.04,0.8
654,225,1,0.04,0.8
655,270,1,0.04,0.8
656,0,1,0.04,0.8
657,225,1,0.04,0.8
658,0,1,0.04,0.8
659,180,1,0.04,0.8
660,135,1,0.04,0.8
661,90,1,0.04,0.8
662,315,1,0.04,0.8
663,270,1,0.04,0.8
664,45,1,0.04,0.8
665,135,1,0.04,0.8
666,180,1,0.04,0.8
667,90,1,0.04,0.8
668,270,1,0.04,0.8
669,45,1,0.04,0.8
670,225,1,0.04,0.8
671,0,1,0.04,0.8
672,315,1,0.04,0.8
673,0,1,0.04,0.8
674,135,1,0.04,0.8
675,315,1,0.04,0.8
676,270,1,0.04,0.8
677,45,1,0.04,0.8
678,90,1,0.04,0.8
679,180,1,0.04,0.8
680,225,1,0.04,0.8
681,90,1,0.04,0.8
682,0,1,0.04,0.8
683,270,1,0.04,0.8
684,135,1,0.04,0.8
685,45,1,0.04,0.8
686,315,1,0.04,0.8
687,225,1,0.04,0.8
688,180,1,0.04,0.8
689,0,1,0.04,0.8
690,180,1,0.04,0.8
691,225,1,0.04,0.8
692,45,1,0.04,0.8
693,270,1,0.04,0.8
694,315,1,0.04,0.8
695,90,1,0.04,0.8
696,135,1,0.04,0.8
697,135,1,0.04,0.8
698,225,1,0.04,0.8
699,90,1,0.04,0.8
700,45,1,0.04,0.8
701,270,1,0.04,0.8
702,180,1,0.04,0.8
703,0,1,0.04,0.8
704,315,1,0.04,0.8
705,90,1,0.04,0.8
706,180,1,0.04,0.8
707,225,1,0.04,0.8
708,0,1,0.04,0.8
709,315,1,0.04,0.8
710,270,1,0.04,0.8
711,45,1,0.04,0.8
712,135,1,0.04,0.8
713,270,1,0.04,0.8
714,90,1,0.04,0.8
715,180,1,0.04,0.8
716,135,1,0.04,0.8
717,45,1,0.04,0.8
718,225,1,0.04,0.8
719,0,1,0.04,0.8
720,315,1,0.04,0.8
721,315,1,0.04,0.8
722,270,1,0.04,0.8
723,135,1,0.04,0.8
724,45,1,0.04,0.8
725,180,1,0.04,0.8
726,225,1,0.04,0.8
727,90,1,0.04,0.8
728,0,1,0.04,0.8
729,0,1,0.04,0.8
730,90,1,0.04,0.8
731,270,1,0.04,0.8
732,315,1,0.04,0.8
733,180,1,0.04,0.8
734,135,1,0.04,0.8
735,225,1,0.04,0.8
736,45,1,0.04,0.8
737,90,1,0.04,0.8
738,270,1,0.04,0.8
739,135,1,0.04,0.8
740,0,1,0.04,0.8
741,225,1,0.04,0.8
742,180,1,0.04,0.8
743,315,1,0.04,0.8
744,45,1,0.04,0.8
745,0,1,0.04,0.8
746,270,1,0.04,0.8
747,45,1,0.04,0.8
748,225,1,0.04,0.8
749,135,1,0.04,0.8
750,180,1,0.04,0.8
751,90,1,0.04,0.8
752,315,1,0.04,0.8
753,270,1,0.04,0.8
754,135,1,0.04,0.8
755,180,1,0.04,0.8
756,45,1,0.04,0.8
757,225,1,0.04,0.8
758,90,1,0.04,0.8
759,0,1,0.04,0.8
760,315,1,0.04,0.8
761,0,1,0.04,0.8
762,90,1,0.04,0.8
763,45,1,0.04,0.8
764,135,1,0.04,0.8
765,270,1,0.04,0.8
766,180,1,0.04,0.8
767,315,1,0.04,0.8
768,225,1,0.04,0.8
769,90,1,0.04,0.8
770,315,1,0.04,0.8
771,180,1,0.04,0.8
772,225,1,0.04,0.8
773,135,1,0.04,0.8
774,0,1,0.04,0.8
775,45,1,0.04,0.8
776,270,1,0.04,0.8
777,270,1,0.04,0.8
778,180,1,0.04,0.8
779,315,1,0.04,0.8
780,45,1,0.04,0.8
781,0,1,0.04,0.8
782,90,1,0.04,0.8
783,225,1,0.04,0.8
784,135,1,0.04,0.8
785,180,1,0.04,0.8
786,90,1,0.04,0.8
787,45,1,0.04,0.8
788,315,1,0.04,0.8
789,270,1,0.04,0.8
790,0,1,0.04,0.8
791,135,1,0.04,0.8
792,225,1,0.04,0.8
793,315,1,0.04,0.8
794,90,1,0.04,0.8
795,270,1,0.04,0.8
796,180,1,0.04,0.8
797,135,1,0.04,0.8
798,0,1,0.04,0.8
799,225,1,0.04,0.8
800,45,1,0.04,0.8
801,45,1,0.04,0.8
802,180,1,0.04,0.8
803,315,1,0.04,0.8
804,270,1,0.04,0.8
805,225,1,0.04,0.8
806,90,1,0.04,0.8
807,0,1,0.04,0.8
808,135,1,0.04,0.8
809,225,1,0.04,0.8
810,180,1,0.04,0.8
811,0,1,0.04,0.8
812,315,1,0.04,0.8
813,270,1,0.04,0.8
814,135,1,0.04,0.8
815,45,1,0.04,0.8
816,90,1,0.04,0.8
817,225,1,0.04,0.8
818,315,1,0.04,0.8
819,270,1,0.04,0.8
820,180,1,0.04,0.8
821,0,1,0.04,0.8
822,135,1,0.04,0.8
823,90,1,0.04,0.8
824,45,1,0.04,0.8
825,135,1,0.04,0.8
826,90,1,0.04,0.8
827,270,1,0.04,0.8
828,0,1,0.04,0.8
829,180,1,0.04,0.8
830,225,1,0.04,0.8
831,315,1,0.04,0.8
832,45,1,0.04,0.8
833,180,1,0.04,0.8
834,90,1,0.04,0.8
835,315,1,0.04,0.8
836,135,1,0.04,0.8
837,270,1,0.04,0.8
838,225,1,0.04,0.8
839,45,1,0.04,0.8
840,0,1,0.04,0.8
841,180,1,0.04,0.8
842,225,1,0.04,0.8
843,90,1,0.04,0.8
844,45,1,0.04,0.8
845,315,1,0.04,0.8
846,135,1,0.04,0.8
847,270,1,0.04,0.8
848,0,1,0.04,0.8
849,270,1,0.04,0.8
850,225,1,0.04,0.8
851,0,1,0.04,0.8
852,90,1,0.04,0.8
853,315,1,0.04,0.8
854,180,1,0.04,0.8
855,135,1,0.04,0.8
856,45,1,0.04,0.8
857,0,1,0.04,0.8
858,180,1,0.04,0.8
859,270,1,0.04,0.8
860,45,1,0.04,0.8
861,90,1,0.04,0.8
862,315,1,0.04,0.8
863,135,1,0.04,0.8
864,225,1,0.04,0.8
865,90,1,0.04,0.8
866,270,1,0.04,0.8
867,180,1,0.04,0.8
868,225,1,0.04,0.8
869,315,1,0.04,0.8
870,0,1,0.04,0.8
871,45,1,0.04,0.8
872,135,1,0.04,0.8
873,0,1,0.04,0.8
874,90,1,0.04,0.8
875,315,1,0.04,0.8
876,45,1,0.04,0.8
877,135,1,0.04,0.8
878,180,1,0.04,0.8
879,270,1,0.04,0.8
880,225,1,0.04,0.8
881,225,1,0.04,0.8
882,0,1,0.04,0.8
883,270,1,0.04,0.8
884,90,1,0.04,0.8
885,315,1,0.04,0.8
886,135,1,0.04,0.8
887,180,1,0.04,0.8
888,45,1,0.04,0.8
889,90,1,0.04,0.8
890,315,1,0.04,0.8
891,180,1,0.04,0.8
892,270,1,0.04,0.8
893,0,1,0.04,0.8
894,225,1,0.04,0.8
895,45,1,0.04,0.8
896,135,1,0.04,0.8
897,225,1,0.04,0.8
898,180,1,0.04,0.8
899,0,1,0.04,0.8
900,315,1,0.04,0.8
901,45,1,0.04,0.8
902,135,1,0.04,0.8
903,270,1,0.04,0.8
904,90,1,0.04,0.8
905,0,1,0.04,0.8
906,270,1,0.04,0.8
907,225,1,0.04,0.8
908,180,1,0.04,0.8
909,315,1,0.04,0.8
910,135,1,0.04,0.8
911,45,1,0.04,0.8
912,90,1,0.04,0.8
913,180,1,0.04,0.8
914,45,1,0.04,0.8
915,315,1,0.04,0.8
916,0,1,0.04,0.8
917,90,1,0.04,0.8
918,270,1,0.04,0.8
919,225,1,0.04,0.8
920,135,1,0.04,0.8
921,180,1,0.04,0.8
922,45,1,0.04,0.8
923,135,1,0.04,0.8
924,315,1,0.04,0.8
925,225,1,0.04,0.8
926,90,1,0.04,0.8
927,270,1,0.04,0.8
928,0,1,0.04,0.8
929,225,1,0.04,0.8
930,135,1,0.04,0.8
931,45,1,0.04,0.8
932,180,1,0.04,0.8
933,90,1,0.04,0.8
934,270,1,0.04,0.8
935,0,1,0.04,0.8
936,315,1,0.04,0.8
937,315,1,0.04,0.8
938,180,1,0.04,0.8
939,135,1,0.04,0.8
940,225,1,0.04,0.8
941,90,1,0.04,0.8
942,0,1,0.04,0.8
943,45,1,0.04,0.8
944,270,1,0.04,0.8
945,135,1,0.04,0.8
946,45,1,0.04,0.8
947,180,1,0.04,0.8
948,90,1,0.04,0.8
949,0,1,0.04,0.8
950,225,1,0.04,0.8
951,270,1,0.04,0.8
952,315,1,0.04,0.8
953,135,1,0.04,0.8
954,180,1,0.04,0.8
955,315,1,0.04,0.8
956,225,1,0.04,0.8
957,270,1,0.04,0.8
958,0,1,0.04,0.8
959,90,1,0.04,0.8
960,45,1,0.04,0.8
961,0,1,0.04,0.8
962,45,1,0.04,0.8
963,180,1,0.04,0.8
964,270,1,0.04,0.8
965,135,1,0.04,0.8
966,225,1,0.04,0.8
967,315,1,0.04,0.8
968,90,1,0.04,0.8
969,225,1,0.04,0.8
970,45,1,0.04,0.8
971,135,1,0.04,0.8
972,0,1,0.04,0.8
973,180,1,0.04,0.8
974,315,1,0.04,0.8
975,90,1,0.04,0.8
976,270,1,0.04,0.8
977,0,1,0.04,0.8
978,225,1,0.04,0.8
979,90,1,0.04,0.8
980,135,1,0.04,0.8
981,180,1,0.04,0.8
982,315,1,0.04,0.8
983,45,1,0.04,0.8
984,270,1,0.04,0.8
985,135,1,0.04,0.8
986,180,1,0.04,0.8
987,0,1,0.04,0.8
988,90,1,0.04,0.8
989,315,1,0.04,0.8
990,270,1,0.04,0.8
991,225,1,0.04,0.8
992,45,1,0.04,0.8
993,0,1,0.04,0.8
994,270,1,0.04,0.8
995,90,1,0.04,0.8
996,135,1,0.04,0.8
997,45,1,0.04,0.8
