trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
116,G,stimA,stimD_75,184,1
117,G,stimA,stimD_75,186,1
118,N,stimB,stimD_75,159,0
119,N,stimB,stimD_75,204,0
120,G,stimA,stimD_75,177,1
121,N,stimB,stimD_75,162,0
122,G,stimA,stimD_75,204,1
123,G,stimA,stimD_75,196,1
124,G,stimA,stimD_75,203,1
125,G,stimA,stimD_75,167,1
126,G,stimA,stimD_75,191,1
127,N,stimB,stimC_75,190,0
128,N,stimB,stimD_75,157,0
129,N,stimB,stimC_75,174,0
130,N,stimB,stimD_75,166,0
131,N,stimB,stimC_75,193,0
132,G,stimA,stimC_75,167,1
133,N,stimB,stimC_75,204,0
134,G,stimA,stimC_75,200,1
135,G,stimA,stimC_75,173,1
136,G,stimA,stimD_75,180,1
137,N,stimB,stimD_75,192,0
138,G,stimA,stimD_75,200,1
139,N,stimB,stimD_75,187,0
140,N,stimB,stimC_75,185,0
141,G,stimA,stimD_75,169,1
142,G,stimA,stimC_75,177,1
143,N,stimB,stimC_75,193,0
144,G,stimA,stimC_75,203,1
145,G,stimA,stimD_75,193,1
146,N,stimB,stimD_75,151,0
147,N,stimB,stimC_75,191,0
148,N,stimB,stimD_75,176,0
149,N,stimB,stimC_75,176,0
150,G,stimA,stimC_75,157,1
151,N,stimC_75,stimB,199,0
152,G,stimD_75,stimA,169,1
153,G,stimD_75,stimA,165,1
154,G,stimC_75,stimA,170,1
155,N,stimD_75,stimB,172,0
156,G,stimC_75,stimA,183,1
157,G,stimC_75,stimA,184,1
158,N,stimC_75,stimB,174,0
159,N,stimC_75,stimB,174,0
160,N,stimC_75,stimB,181,0
161,G,stimC_75,stimA,190,1
162,N,stimC_75,stimB,208,0
163,G,stimD_75,stimA,194,1
164,G,stimC_75,stimA,174,1
165,G,stimD_75,stimA,200,1
166,N,stimC_75,stimB,158,0
167,N,stimD_75,stimB,153,0
168,N,stimD_75,stimB,155,0
169,N,stimC_75,stimB,159,0
170,G,stimC_75,stimA,169,1
171,N,stimD_75,stimB,168,0
172,G,stimC_75,stimA,150,1
173,N,stimC_75,stimB,182,0
174,N,stimC_75,stimB,155,0
175,N,stimC_75,stimB,158,0
176,G,stimD_75,stimA,188,1
177,G,stimD_75,stimA,202,1
178,G,stimD_75,stimA,209,1
179,N,stimC_75,stimB,184,0
180,G,stimC_75,stimA,210,1
181,N,stimD_75,stimB,183,0
182,N,stimD_75,stimB,181,0
183,G,stimD_75,stimA,170,1
184,G,stimD_75,stimA,176,1
185,G,stimD_75,stimA,180,1
186,G,stimD_75,stimA,154,1
187,N,stimC_75,stimB,204,0
188,N,stimD_75,stimB,153,0
189,G,stimD_75,stimA,176,1
190,N,stimD_75,stimB,200,0
191,N,stimC_75,stimB,174,0
192,G,stimC_75,stimA,187,1
193,G,stimC_75,stimA,199,1
194,N,stimC_75,stimB,204,0
195,N,stimC_75,stimB,206,0
196,N,stimD_75,stimB,161,0
197,N,stimD_75,stimB,165,0
198,G,stimD_75,stimA,204,1
199,G,stimC_75,stimA,186,1
200,G,stimC_75,stimA,180,1
201,G,stimA,stimD_75,187,1
202,N,stimB,stimD_75,199,0
203,N,stimB,stimD_75,182,0
204,G,stimA,stimC_75,162,1
205,N,stimB,stimD_75,177,0
206,N,stimB,stimD_75,176,0
207,G,stimA,stimD_75,208,1
208,G,stimA,stimC_75,187,1
209,G,stimA,stimD_75,192,1
210,N,stimB,stimD_75,193,0
211,N,stimB,stimD_75,171,0
212,G,stimA,stimD_75,181,1
213,G,stimA,stimC_75,183,1
214,G,stimA,stimD_75,159,1
215,G,stimA,stimC_75,184,1
216,G,stimA,stimD_75,192,1
217,N,stimB,stimC_75,176,0
218,N,stimB,stimD_75,201,0
219,N,stimB,stimD_75,194,0
220,N,stimB,stimC_75,171,0
221,G,stimA,stimC_75,177,1
222,G,stimA,stimC_75,173,1
223,G,stimA,stimD_75,197,1
224,N,stimB,stimC_75,194,0
225,N,stimB,stimD_75,176,0
226,G,stimA,stimC_75,192,1
227,N,stimB,stimC_75,207,0
228,G,stimA,stimC_75,197,1
229,N,stimB,stimD_75,193,0
230,N,stimB,stimD_75,156,0
231,G,stimA,stimD_75,173,1
232,G,stimA,stimC_75,186,1
233,N,stimB,stimD_75,178,0
234,G,stimA,stimC_75,153,1
235,N,stimB,stimC_75,163,0
236,N,stimB,stimD_75,200,0
237,G,stimA,stimD_75,150,1
238,G,stimA,stimD_75,202,1
239,N,stimB,stimD_75,154,0
240,N,stimB,stimD_75,190,0
241,G,stimA,stimD_75,180,1
242,N,stimB,stimC_75,163,0
243,G,stimA,stimC_75,184,1
244,G,stimA,stimC_75,157,1
245,N,stimB,stimD_75,190,0
246,G,stimA,stimC_75,186,1
247,N,stimB,stimD_75,153,0
248,N,stimB,stimC_75,153,0
249,G,stimA,stimC_75,159,1
250,N,stimB,stimC_75,151,0
251,G,stimC_75,stimA,176,1
252,G,stimD_75,stimA,200,1
253,G,stimC_75,stimA,187,1
254,N,stimC_75,stimB,181,0
255,N,stimD_75,stimB,202,0
256,G,stimC_75,stimA,155,1
257,N,stimD_75,stimB,205,0
258,N,stimD_75,stimB,156,0
259,N,stimC_75,stimB,181,0
260,G,stimC_75,stimA,158,1
261,G,stimD_75,stimA,184,1
262,N,stimC_75,stimB,150,0
263,N,stimD_75,stimB,196,0
264,N,stimD_75,stimB,201,0
265,G,stimD_75,stimA,205,1
266,G,stimC_75,stimA,210,1
267,G,stimD_75,stimA,180,1
268,N,stimC_75,stimB,166,0
269,G,stimD_75,stimA,156,1
270,N,stimC_75,stimB,180,0
271,N,stimC_75,stimB,185,0
272,N,stimC_75,stimB,196,0
273,N,stimD_75,stimB,155,0
274,G,stimC_75,stimA,190,1
275,G,stimC_75,stimA,181,1
276,N,stimD_75,stimB,160,0
277,G,stimD_75,stimA,207,1
278,G,stimC_75,stimA,186,1
279,G,stimD_75,stimA,176,1
280,N,stimC_75,stimB,207,0
281,G,stimD_75,stimA,190,1
282,N,stimC_75,stimB,177,0
283,G,stimC_75,stimA,201,1
284,N,stimC_75,stimB,182,0
285,G,stimC_75,stimA,183,1
286,N,stimD_75,stimB,191,0
287,N,stimD_75,stimB,172,0
288,G,stimC_75,stimA,164,1
289,N,stimD_75,stimB,185,0
290,G,stimD_75,stimA,202,1
291,N,stimD_75,stimB,174,0
292,N,stimD_75,stimB,156,0
293,N,stimD_75,stimB,177,0
294,G,stimC_75,stimA,168,1
295,G,stimD_75,stimA,174,1
296,G,stimC_75,stimA,200,1
297,N,stimC_75,stimB,174,0
298,G,stimD_75,stimA,173,1
299,G,stimC_75,stimA,171,1
300,N,stimD_75,stimB,158,0
301,N,stimB,stimD_75,165,0
302,G,stimA,stimC_75,155,1
303,G,stimA,stimD_75,176,1
304,N,stimB,stimD_75,165,0
305,G,stimA,stimC_75,168,1
306,N,stimB,stimC_75,175,0
307,G,stimA,stimC_75,157,1
308,N,stimB,stimD_75,180,0
309,G,stimA,stimD_75,193,1
310,N,stimB,stimC_75,164,0
311,G,stimA,stimD_75,197,1
312,G,stimA,stimC_75,154,1
313,N,stimB,stimC_75,174,0
314,N,stimB,stimC_75,150,0
315,N,stimB,stimD_75,163,0
316,G,stimA,stimD_75,150,1
317,G,stimA,stimD_75,161,1
318,N,stimB,stimC_75,158,0
319,G,stimA,stimD_75,166,1
320,N,stimB,stimD_75,160,0
321,N,stimB,stimC_75,158,0
322,G,stimA,stimD_75,186,1
323,N,stimB,stimC_75,204,0
324,G,stimA,stimD_75,207,1
325,G,stimA,stimD_75,163,1
326,N,stimB,stimC_75,179,0
327,G,stimA,stimC_75,172,1
328,N,stimB,stimC_75,181,0
329,N,stimB,stimC_75,166,0
330,G,stimA,stimD_75,154,1
331,N,stimB,stimD_75,176,0
332,G,stimA,stimD_75,160,1
333,G,stimA,stimC_75,151,1
334,G,stimA,stimD_75,208,1
335,G,stimA,stimC_75,176,1
336,N,stimB,stimD_75,208,0
337,G,stimA,stimC_75,196,1
338,N,stimB,stimC_75,150,0
339,N,stimB,stimC_75,191,0
340,N,stimB,stimD_75,193,0
341,N,stimB,stimD_75,189,0
342,N,stimB,stimC_75,183,0
343,G,stimA,stimD_75,163,1
344,G,stimA,stimC_75,197,1
345,N,stimB,stimD_75,163,0
346,N,stimB,stimD_75,172,0
347,G,stimA,stimC_75,204,1
348,G,stimA,stimD_75,202,1
349,G,stimA,stimC_75,174,1
350,N,stimB,stimD_75,169,0
351,G,stimD_75,stimA,187,1
352,G,stimC_75,stimA,205,1
353,G,stimD_75,stimA,205,1
354,G,stimD_75,stimA,186,1
355,G,stimC_75,stimA,170,1
356,N,stimC_75,stimB,202,0
357,N,stimC_75,stimB,176,0
358,N,stimC_75,stimB,205,0
359,N,stimD_75,stimB,152,0
360,N,stimC_75,stimB,182,0
361,N,stimC_75,stimB,193,0
362,N,stimD_75,stimB,160,0
363,G,stimD_75,stimA,170,1
364,N,stimD_75,stimB,161,0
365,G,stimD_75,stimA,169,1
366,N,stimC_75,stimB,174,0
367,G,stimD_75,stimA,183,1
368,G,stimC_75,stimA,152,1
369,G,stimD_75,stimA,183,1
370,N,stimC_75,stimB,166,0
371,N,stimD_75,stimB,164,0
372,G,stimC_75,stimA,164,1
373,G,stimC_75,stimA,159,1
374,N,stimC_75,stimB,208,0
375,N,stimD_75,stimB,207,0
376,N,stimC_75,stimB,199,0
377,G,stimD_75,stimA,194,1
378,G,stimD_75,stimA,160,1
379,N,stimC_75,stimB,171,0
380,G,stimC_75,stimA,161,1
381,G,stimD_75,stimA,150,1
382,N,stimC_75,stimB,169,0
383,G,stimD_75,stimA,192,1
384,N,stimD_75,stimB,188,0
385,N,stimD_75,stimB,183,0
386,G,stimD_75,stimA,176,1
387,G,stimD_75,stimA,167,1
388,N,stimC_75,stimB,180,0
389,G,stimD_75,stimA,196,1
390,N,stimC_75,stimB,196,0
391,G,stimD_75,stimA,185,1
392,G,stimC_75,stimA,195,1
393,G,stimC_75,stimA,189,1
394,G,stimD_75,stimA,157,1
395,N,stimD_75,stimB,180,0
396,N,stimC_75,stimB,171,0
397,N,stimD_75,stimB,155,0
398,N,stimD_75,stimB,159,0
399,N,stimC_75,stimB,162,0
400,G,stimC_75,stimA,191,1
401,N,stimB,stimC_75,176,0
402,G,stimA,stimC_75,192,1
403,G,stimA,stimD_75,165,1
404,N,stimB,stimC_75,150,0
405,N,stimB,stimC_75,182,0
406,N,stimB,stimC_75,167,0
407,G,stimA,stimD_75,207,1
408,N,stimB,stimC_75,205,0
409,G,stimA,stimC_75,173,1
410,G,stimA,stimC_75,151,1
411,G,stimA,stimC_75,190,1
412,N,stimB,stimC_75,201,0
413,G,stimA,stimC_75,209,1
414,N,stimB,stimD_75,153,0
415,N,stimB,stimD_75,177,0
416,N,stimB,stimD_75,185,0
417,G,stimA,stimC_75,191,1
418,G,stimA,stimC_75,193,1
419,G,stimA,stimC_75,189,1
420,N,stimB,stimD_75,194,0
421,G,stimA,stimD_75,172,1
422,N,stimB,stimD_75,185,0
423,N,stimB,stimC_75,157,0
424,G,stimA,stimD_75,153,1
425,G,stimA,stimD_75,209,1
426,G,stimA,stimD_75,167,1
427,N,stimB,stimC_75,186,0
428,N,stimB,stimD_75,208,0
429,G,stimA,stimC_75,161,1
430,N,stimB,stimC_75,161,0
431,G,stimA,stimD_75,170,1
432,G,stimA,stimD_75,206,1
433,G,stimA,stimD_75,173,1
434,G,stimA,stimD_75,166,1
435,G,stimA,stimC_75,159,1
436,N,stimB,stimD_75,174,0
437,N,stimB,stimD_75,172,0
438,N,stimB,stimC_75,157,0
439,N,stimB,stimC_75,176,0
440,N,stimB,stimD_75,155,0
441,G,stimA,stimC_75,187,1
442,N,stimB,stimD_75,150,0
443,N,stimB,stimD_75,184,0
444,N,stimB,stimC_75,198,0
445,G,stimA,stimC_75,164,1
446,G,stimA,stimC_75,177,1
447,N,stimB,stimD_75,184,0
448,G,stimA,stimC_75,153,1
449,N,stimB,stimD_75,180,0
450,G,stimA,stimD_75,189,1
451,G,stimC_75,stimA,163,1
452,G,stimC_75,stimA,201,1
453,G,stimC_75,stimA,209,1
454,N,stimC_75,stimB,201,0
455,N,stimD_75,stimB,180,0
456,N,stimC_75,stimB,167,0
457,G,stimD_75,stimA,195,1
458,N,stimD_75,stimB,164,0
459,N,stimC_75,stimB,208,0
460,G,stimD_75,stimA,187,1
461,G,stimD_75,stimA,186,1
462,N,stimC_75,stimB,160,0
463,G,stimD_75,stimA,155,1
464,G,stimC_75,stimA,165,1
465,N,stimD_75,stimB,202,0
466,G,stimD_75,stimA,205,1
467,N,stimC_75,stimB,192,0
468,G,stimD_75,stimA,194,1
469,N,stimD_75,stimB,164,0
470,N,stimD_75,stimB,185,0
471,G,stimC_75,stimA,199,1
472,N,stimC_75,stimB,174,0
473,G,stimC_75,stimA,210,1
474,N,stimD_75,stimB,155,0
475,N,stimD_75,stimB,169,0
476,G,stimC_75,stimA,181,1
477,G,stimD_75,stimA,153,1
478,G,stimC_75,stimA,194,1
479,N,stimC_75,stimB,183,0
480,N,stimC_75,stimB,182,0
481,N,stimD_75,stimB,200,0
482,N,stimC_75,stimB,202,0
483,N,stimC_75,stimB,198,0
484,G,stimC_75,stimA,169,1
485,G,stimD_75,stimA,177,1
486,N,stimD_75,stimB,195,0
487,N,stimD_75,stimB,156,0
488,G,stimD_75,stimA,156,1
489,G,stimD_75,stimA,166,1
490,G,stimD_75,stimA,182,1
491,N,stimC_75,stimB,209,0
492,G,stimC_75,stimA,193,1
493,G,stimD_75,stimA,169,1
494,G,stimD_75,stimA,167,1
495,N,stimC_75,stimB,201,0
496,N,stimC_75,stimB,205,0
497,N,stimD_75,stimB,188,0
498,N,stimD_75,stimB,165,0
499,G,stimC_75,stimA,155,1
500,G,stimD_75,stimA,201,1
501,N,stimB,stimD_75,185,0
502,G,stimA,stimD_75,207,1
503,N,stimB,stimC_75,153,0
504,G,stimA,stimD_75,185,1
505,G,stimA,stimC_75,167,1
506,N,stimB,stimD_75,200,0
507,G,stimA,stimD_75,161,1
508,G,stimA,stimD_75,176,1
509,N,stimB,stimD_75,173,0
510,N,stimB,stimC_75,200,0
511,G,stimA,stimC_75,191,1
512,N,stimB,stimD_75,162,0
513,G,stimA,stimD_75,169,1
514,G,stimA,stimD_75,158,1
515,N,stimB,stimC_75,190,0
516,N,stimB,stimD_75,184,0
517,N,stimB,stimD_75,160,0
518,G,stimA,stimC_75,159,1
519,N,stimB,stimC_75,179,0
520,G,stimA,stimD_75,205,1
521,N,stimB,stimC_75,183,0
522,N,stimB,stimD_75,152,0
523,N,stimB,stimC_75,153,0
524,N,stimB,stimD_75,199,0
525,G,stimA,stimC_75,177,1
526,G,stimA,stimC_75,173,1
527,G,stimA,stimC_75,198,1
528,G,stimA,stimD_75,172,1
529,N,stimB,stimC_75,182,0
530,G,stimA,stimD_75,193,1
531,G,stimA,stimC_75,203,1
532,N,stimB,stimC_75,170,0
533,N,stimB,stimD_75,189,0
534,G,stimA,stimC_75,209,1
535,N,stimB,stimC_75,154,0
536,N,stimB,stimD_75,185,0
537,G,stimA,stimD_75,175,1
538,N,stimB,stimC_75,168,0
539,G,stimA,stimD_75,166,1
540,G,stimA,stimD_75,196,1
541,G,stimA,stimD_75,210,1
542,G,stimA,stimC_75,161,1
543,G,stimA,stimC_75,197,1
544,G,stimA,stimD_75,161,1
545,N,stimB,stimD_75,210,0
546,N,stimB,stimD_75,198,0
547,N,stimB,stimD_75,175,0
548,N,stimB,stimD_75,194,0
549,G,stimA,stimC_75,180,1
550,N,stimB,stimC_75,199,0
551,N,stimC_75,stimB,171,0
552,N,stimC_75,stimB,154,0
553,G,stimC_75,stimA,186,1
554,G,stimD_75,stimA,205,1
555,N,stimD_75,stimB,161,0
556,G,stimD_75,stimA,176,1
557,N,stimD_75,stimB,195,0
558,G,stimD_75,stimA,152,1
559,G,stimD_75,stimA,207,1
560,N,stimD_75,stimB,196,0
561,G,stimC_75,stimA,184,1
562,N,stimD_75,stimB,161,0
563,G,stimC_75,stimA,180,1
564,G,stimD_75,stimA,181,1
565,G,stimC_75,stimA,210,1
566,N,stimC_75,stimB,202,0
567,N,stimD_75,stimB,208,0
568,N,stimD_75,stimB,191,0
569,G,stimD_75,stimA,174,1
570,N,stimD_75,stimB,207,0
571,N,stimC_75,stimB,179,0
572,G,stimC_75,stimA,164,1
573,G,stimD_75,stimA,174,1
574,N,stimD_75,stimB,193,0
575,N,stimD_75,stimB,184,0
576,N,stimC_75,stimB,196,0
577,G,stimD_75,stimA,210,1
578,G,stimC_75,stimA,208,1
579,G,stimD_75,stimA,182,1
580,N,stimD_75,stimB,208,0
581,G,stimC_75,stimA,157,1
582,N,stimD_75,stimB,153,0
583,N,stimC_75,stimB,168,0
584,N,stimD_75,stimB,185,0
585,G,stimC_75,stimA,182,1
586,N,stimC_75,stimB,204,0
587,G,stimD_75,stimA,182,1
588,N,stimC_75,stimB,176,0
589,G,stimD_75,stimA,183,1
590,G,stimC_75,stimA,193,1
591,N,stimC_75,stimB,151,0
592,G,stimC_75,stimA,198,1
593,N,stimC_75,stimB,158,0
594,N,stimD_75,stimB,179,0
595,G,stimC_75,stimA,165,1
596,G,stimD_75,stimA,172,1
597,N,stimD_75,stimB,190,0
598,N,stimD_75,stimB,160,0
599,G,stimD_75,stimA,167,1
600,G,stimC_75,stimA,162,1
601,G,stimA,stimC_75,161,1
602,N,stimB,stimD_75,169,0
603,G,stimA,stimC_75,203,1
604,G,stimA,stimD_75,178,1
605,G,stimA,stimD_75,174,1
606,N,stimB,stimD_75,160,0
607,G,stimA,stimC_75,209,1
608,N,stimB,stimC_75,174,0
609,N,stimB,stimC_75,201,0
610,N,stimB,stimD_75,187,0
611,N,stimB,stimC_75,172,0
612,N,stimB,stimD_75,203,0
613,G,stimA,stimC_75,197,1
614,G,stimA,stimC_75,178,1
615,N,stimB,stimD_75,199,0
616,N,stimB,stimD_75,204,0
617,G,stimA,stimD_75,176,1
618,G,stimA,stimD_75,170,1
619,G,stimA,stimC_75,186,1
620,N,stimB,stimD_75,205,0
621,N,stimB,stimD_75,192,0
622,G,stimA,stimD_75,173,1
623,N,stimB,stimC_75,194,0
624,G,stimA,stimC_75,208,1
625,N,stimB,stimC_75,183,0
626,G,stimA,stimD_75,182,1
627,N,stimB,stimD_75,168,0
628,G,stimA,stimD_75,154,1
629,G,stimA,stimC_75,161,1
630,N,stimB,stimD_75,155,0
631,G,stimA,stimC_75,178,1
632,G,stimA,stimC_75,150,1
633,N,stimB,stimC_75,205,0
634,G,stimA,stimC_75,189,1
635,N,stimB,stimD_75,150,0
636,G,stimA,stimC_75,151,1
637,G,stimA,stimD_75,162,1
638,N,stimB,stimD_75,177,0
639,N,stimB,stimD_75,157,0
640,N,stimB,stimC_75,150,0
641,G,stimA,stimC_75,194,1
642,G,stimA,stimD_75,171,1
643,N,stimB,stimD_75,197,0
644,N,stimB,stimD_75,176,0
645,G,stimA,stimD_75,176,1
646,G,stimA,stimD_75,153,1
647,N,stimB,stimD_75,153,0
648,N,stimB,stimD_75,155,0
649,G,stimA,stimC_75,186,1
650,N,stimB,stimD_75,164,0
651,G,stimD_75,stimA,201,1
652,N,stimD_75,stimB,202,0
653,N,stimD_75,stimB,208,0
654,G,stimC_75,stimA,179,1
655,G,stimC_75,stimA,163,1
656,N,stimC_75,stimB,163,0
657,N,stimD_75,stimB,182,0
658,G,stimD_75,stimA,196,1
659,N,stimC_75,stimB,171,0
660,G,stimC_75,stimA,178,1
661,G,stimD_75,stimA,188,1
662,G,stimC_75,stimA,205,1
663,G,stimD_75,stimA,159,1
664,N,stimD_75,stimB,193,0
665,N,stimD_75,stimB,185,0
666,N,stimD_75,stimB,176,0
667,N,stimC_75,stimB,203,0
668,G,stimD_75,stimA,173,1
669,G,stimC_75,stimA,160,1
670,N,stimD_75,stimB,188,0
671,N,stimD_75,stimB,188,0
672,N,stimD_75,stimB,170,0
673,G,stimC_75,stimA,198,1
674,G,stimD_75,stimA,210,1
675,G,stimC_75,stimA,209,1
676,N,stimD_75,stimB,157,0
677,G,stimD_75,stimA,164,1
678,G,stimC_75,stimA,151,1
679,N,stimD_75,stimB,187,0
680,N,stimD_75,stimB,156,0
681,N,stimD_75,stimB,174,0
682,N,stimC_75,stimB,203,0
683,G,stimD_75,stimA,183,1
684,G,stimD_75,stimA,172,1
685,N,stimC_75,stimB,162,0
686,N,stimD_75,stimB,176,0
687,G,stimD_75,stimA,208,1
688,G,stimD_75,stimA,157,1
689,N,stimD_75,stimB,178,0
690,G,stimC_75,stimA,202,1
691,N,stimC_75,stimB,152,0
692,G,stimC_75,stimA,192,1
693,N,stimC_75,stimB,209,0
694,G,stimC_75,stimA,167,1
695,N,stimC_75,stimB,158,0
696,G,stimC_75,stimA,191,1
697,N,stimD_75,stimB,205,0
698,G,stimD_75,stimA,187,1
699,N,stimC_75,stimB,204,0
700,G,stimD_75,stimA,161,1
701,N,stimB,stimD_75,196,0
702,G,stimA,stimD_75,171,1
703,G,stimA,stimD_75,175,1
704,N,stimB,stimC_75,159,0
705,G,stimA,stimC_75,199,1
706,N,stimB,stimD_75,188,0
707,G,stimA,stimC_75,195,1
708,N,stimB,stimD_75,199,0
709,N,stimB,stimD_75,154,0
710,G,stimA,stimD_75,207,1
711,N,stimB,stimC_75,180,0
712,G,stimA,stimC_75,196,1
713,G,stimA,stimD_75,195,1
714,N,stimB,stimD_75,200,0
715,N,stimB,stimC_75,159,0
716,G,stimA,stimC_75,177,1
717,N,stimB,stimC_75,187,0
718,N,stimB,stimC_75,206,0
719,G,stimA,stimC_75,200,1
720,G,stimA,stimD_75,204,1
721,N,stimB,stimD_75,185,0
722,G,stimA,stimC_75,185,1
723,G,stimA,stimD_75,202,1
724,G,stimA,stimD_75,152,1
725,N,stimB,stimC_75,204,0
726,N,stimB,stimC_75,174,0
727,N,stimB,stimC_75,152,0
728,G,stimA,stimC_75,195,1
729,N,stimB,stimC_75,159,0
730,G,stimA,stimD_75,158,1
731,G,stimA,stimC_75,186,1
732,G,stimA,stimC_75,165,1
733,G,stimA,stimD_75,169,1
734,G,stimA,stimC_75,174,1
735,G,stimA,stimC_75,174,1
736,N,stimB,stimD_75,173,0
737,N,stimB,stimD_75,187,0
738,N,stimB,stimC_75,160,0
739,N,stimB,stimC_75,161,0
740,N,stimB,stimC_75,155,0
741,G,stimA,stimD_75,169,1
742,N,stimB,stimD_75,196,0
743,G,stimA,stimD_75,164,1
744,G,stimA,stimC_75,195,1
745,N,stimB,stimD_75,192,0
746,G,stimA,stimD_75,200,1
747,N,stimB,stimD_75,200,0
748,N,stimB,stimD_75,167,0
749,N,stimB,stimC_75,168,0
750,G,stimA,stimC_75,181,1
751,G,stimD_75,stimA,169,1
752,N,stimC_75,stimB,200,0
753,G,stimC_75,stimA,199,1
754,N,stimC_75,stimB,183,0
755,G,stimC_75,stimA,166,1
756,N,stimC_75,stimB,191,0
757,G,stimC_75,stimA,164,1
758,N,stimD_75,stimB,177,0
759,G,stimD_75,stimA,173,1
760,N,stimC_75,stimB,182,0
761,G,stimD_75,stimA,210,1
762,N,stimD_75,stimB,196,0
763,N,stimD_75,stimB,209,0
764,G,stimC_75,stimA,164,1
765,N,stimC_75,stimB,182,0
766,G,stimD_75,stimA,153,1
767,N,stimC_75,stimB,196,0
768,G,stimD_75,stimA,186,1
769,N,stimC_75,stimB,202,0
770,G,stimC_75,stimA,210,1
771,N,stimC_75,stimB,206,0
772,G,stimD_75,stimA,174,1
773,N,stimC_75,stimB,150,0
