trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation
83,N,fwn1_25,stimD,222
84,G,fwn1_25,stimC,244
85,N,fwn1_25,stimD,238
86,G,fwn1_25,stimC,168
87,N,fwn1_25,stimD,222
88,N,fwn1_25,stimD,177
89,G,fwn1_25,stimC,201
90,N,fwn1_25,stimD,228
91,N,fwn1_25,stimD,193
92,G,fwn1_25,stimC,193
93,G,fwn1_25,stimC,241
94,N,fwn1_25,stimD,234
95,G,fwn1_25,stimC,151
96,N,fwn1_25,stimD,180
97,G,fwn1_25,stimC,197
98,N,fwn1_25,stimD,181
99,N,fwn1_25,stimD,196
100,G,fwn1_25,stimC,218
101,G,stimC,fwn1_25,194
102,N,stimD,fwn1_25,223
103,N,stimD,fwn1_25,183
104,N,stimD,fwn1_25,248
105,G,stimC,fwn1_25,224
106,G,stimC,fwn1_25,215
107,N,stimD,fwn1_25,217
108,N,stimD,fwn1_25,163
109,G,stimC,fwn1_25,195
110,G,stimC,fwn1_25,156
111,N,stimD,fwn1_25,238
112,G,stimC,fwn1_25,168
113,G,stimC,fwn1_25,188
114,G,stimC,fwn1_25,227
115,N,stimD,fwn1_25,240
116,G,stimC,fwn1_25,158
117,N,stimD,fwn1_25,234
118,N,stimD,fwn1_25,181
119,N,stimD,fwn1_25,163
120,G,stimC,fwn1_25,159
121,G,stimC,fwn1_25,181
122,N,stimD,fwn1_25,225
123,G,stimC,fwn1_25,158
124,N,stimD,fwn1_25,234
125,N,stimD,fwn1_25,171
126,N,stimD,fwn1_25,218
127,G,stimC,fwn1_25,210
128,N,stimD,fwn1_25,195
129,G,stimC,fwn1_25,248
130,G,stimC,fwn1_25,177
131,N,stimD,fwn1_25,213
132,G,stimC,fwn1_25,212
133,N,stimD,fwn1_25,238
134,N,stimD,fwn1_25,153
135,G,stimC,fwn1_25,209
136,G,stimC,fwn1_25,168
137,G,stimC,fwn1_25,210
138,N,stimD,fwn1_25,219
139,G,stimC,fwn1_25,180
140,N,stimD,fwn1_25,234
141,N,stimD,fwn1_25,161
142,G,stimC,fwn1_25,205
143,G,stimC,fwn1_25,175
144,G,stimC,fwn1_25,201
145,N,stimD,fwn1_25,208
146,N,stimD,fwn1_25,179
147,G,stimC,fwn1_25,150
148,N,stimD,fwn1_25,240
149,N,stimD,fwn1_25,178
150,G,stimC,fwn1_25,164
151,N,fwn1_25,stimD,242
152,G,fwn1_25,stimC,183
153,N,fwn1_25,stimD,231
154,N,fwn1_25,stimD,197
155,G,fwn1_25,stimC,198
156,N,fwn1_25,stimD,224
157,G,fwn1_25,stimC,203
158,G,fwn1_25,stimC,238
159,N,fwn1_25,stimD,240
160,G,fwn1_25,stimC,229
161,N,fwn1_25,stimD,151
162,G,fwn1_25,stimC,218
163,G,fwn1_25,stimC,223
164,N,fwn1_25,stimD,238
165,G,fwn1_25,stimC,150
166,G,fwn1_25,stimC,232
167,N,fwn1_25,stimD,214
168,N,fwn1_25,stimD,174
169,N,fwn1_25,stimD,181
170,G,fwn1_25,stimC,209
171,N,fwn1_25,stimD,169
172,G,fwn1_25,stimC,237
173,N,fwn1_25,stimD,183
174,G,fwn1_25,stimC,184
175,G,fwn1_25,stimC,239
176,N,fwn1_25,stimD,188
177,N,fwn1_25,stimD,166
178,N,fwn1_25,stimD,205
179,G,fwn1_25,stimC,187
180,G,fwn1_25,stimC,175
181,N,fwn1_25,stimD,224
182,G,fwn1_25,stimC,220
183,N,fwn1_25,stimD,205
184,G,fwn1_25,stimC,159
185,N,fwn1_25,stimD,152
186,N,fwn1_25,stimD,234
187,G,fwn1_25,stimC,172
188,G,fwn1_25,stimC,210
189,G,fwn1_25,stimC,219
190,N,fwn1_25,stimD,158
191,G,fwn1_25,stimC,188
192,N,fwn1_25,stimD,244
193,N,fwn1_25,stimD,243
194,N,fwn1_25,stimD,218
195,N,fwn1_25,stimD,230
196,G,fwn1_25,stimC,158
197,G,fwn1_25,stimC,195
198,G,fwn1_25,stimC,172
199,G,fwn1_25,stimC,198
200,N,fwn1_25,stimD,208
201,N,stimD,fwn1_25,203
202,G,stimC,fwn1_25,221
203,G,stimC,fwn1_25,226
204,G,stimC,fwn1_25,216
205,N,stimD,fwn1_25,200
206,N,stimD,fwn1_25,242
207,G,stimC,fwn1_25,183
208,N,stimD,fwn1_25,167
209,G,stimC,fwn1_25,159
210,N,stimD,fwn1_25,229
211,N,stimD,fwn1_25,241
212,G,stimC,fwn1_25,165
213,N,stimD,fwn1_25,174
214,G,stimC,fwn1_25,246
215,N,stimD,fwn1_25,186
216,N,stimD,fwn1_25,155
217,G,stimC,fwn1_25,213
218,N,stimD,fwn1_25,199
219,G,stimC,fwn1_25,182
220,G,stimC,fwn1_25,231
221,G,stimC,fwn1_25,195
222,G,stimC,fwn1_25,160
223,G,stimC,fwn1_25,190
224,G,stimC,fwn1_25,167
225,G,stimC,fwn1_25,157
226,N,stimD,fwn1_25,228
227,N,stimD,fwn1_25,203
228,N,stimD,fwn1_25,220
229,N,stimD,fwn1_25,171
230,N,stimD,fwn1_25,169
231,N,stimD,fwn1_25,205
232,N,stimD,fwn1_25,159
233,G,stimC,fwn1_25,173
234,G,stimC,fwn1_25,167
235,N,stimD,fwn1_25,225
236,N,stimD,fwn1_25,211
237,N,stimD,fwn1_25,211
238,G,stimC,fwn1_25,193
239,G,stimC,fwn1_25,186
240,G,stimC,fwn1_25,190
241,G,stimC,fwn1_25,198
242,G,stimC,fwn1_25,220
243,G,stimC,fwn1_25,240
244,N,stimD,fwn1_25,170
245,N,stimD,fwn1_25,225
246,N,stimD,fwn1_25,178
247,G,stimC,fwn1_25,196
248,N,stimD,fwn1_25,175
249,N,stimD,fwn1_25,172
250,G,stimC,fwn1_25,231
251,G,fwn1_25,stimC,236
252,N,fwn1_25,stimD,202
253,G,fwn1_25,stimC,174
254,N,fwn1_25,stimD,213
255,N,fwn1_25,stimD,202
256,G,fwn1_25,stimC,235
257,N,fwn1_25,stimD,228
258,G,fwn1_25,stimC,164
259,N,fwn1_25,stimD,186
260,G,fwn1_25,stimC,209
261,G,fwn1_25,stimC,235
262,N,fwn1_25,stimD,223
263,G,fwn1_25,stimC,202
264,N,fwn1_25,stimD,242
265,G,fwn1_25,stimC,210
266,N,fwn1_25,stimD,212
267,G,fwn1_25,stimC,228
268,N,fwn1_25,stimD,192
269,G,fwn1_25,stimC,206
270,N,fwn1_25,stimD,239
271,N,fwn1_25,stimD,233
272,N,fwn1_25,stimD,244
273,N,fwn1_25,stimD,229
274,G,fwn1_25,stimC,213
275,N,fwn1_25,stimD,235
276,N,fwn1_25,stimD,215
277,G,fwn1_25,stimC,156
278,G,fwn1_25,stimC,240
279,G,fwn1_25,stimC,225
280,G,fwn1_25,stimC,217
281,G,fwn1_25,stimC,169
282,G,fwn1_25,stimC,175
283,N,fwn1_25,stimD,180
284,N,fwn1_25,stimD,224
285,G,fwn1_25,stimC,183
286,N,fwn1_25,stimD,239
287,N,fwn1_25,stimD,167
288,N,fwn1_25,stimD,176
289,G,fwn1_25,stimC,166
290,G,fwn1_25,stimC,227
291,N,fwn1_25,stimD,229
292,G,fwn1_25,stimC,217
293,N,fwn1_25,stimD,249
294,G,fwn1_25,stimC,226
295,G,fwn1_25,stimC,249
296,G,fwn1_25,stimC,245
297,G,fwn1_25,stimC,239
298,N,fwn1_25,stimD,172
299,N,fwn1_25,stimD,221
300,N,fwn1_25,stimD,248
301,N,stimD,fwn1_25,193
302,N,stimD,fwn1_25,200
303,G,stimC,fwn1_25,158
304,G,stimC,fwn1_25,203
305,G,stimC,fwn1_25,195
306,N,stimD,fwn1_25,174
307,G,stimC,fwn1_25,169
308,N,stimD,fwn1_25,219
309,G,stimC,fwn1_25,187
310,N,stimD,fwn1_25,233
311,G,stimC,fwn1_25,184
312,N,stimD,fwn1_25,214
313,G,stimC,fwn1_25,204
314,N,stimD,fwn1_25,197
315,G,stimC,fwn1_25,250
316,N,stimD,fwn1_25,192
317,G,stimC,fwn1_25,218
318,N,stimD,fwn1_25,242
319,N,stimD,fwn1_25,153
320,G,stimC,fwn1_25,159
321,N,stimD,fwn1_25,225
322,G,stimC,fwn1_25,178
323,N,stimD,fwn1_25,208
324,N,stimD,fwn1_25,226
325,G,stimC,fwn1_25,154
326,G,stimC,fwn1_25,215
327,G,stimC,fwn1_25,213
328,N,stimD,fwn1_25,216
329,N,stimD,fwn1_25,174
330,G,stimC,fwn1_25,246
331,G,stimC,fwn1_25,172
332,N,stimD,fwn1_25,215
333,N,stimD,fwn1_25,209
334,G,stimC,fwn1_25,237
335,N,stimD,fwn1_25,223
336,N,stimD,fwn1_25,197
337,G,stimC,fwn1_25,249
338,N,stimD,fwn1_25,219
339,G,stimC,fwn1_25,187
340,G,stimC,fwn1_25,176
341,N,stimD,fwn1_25,163
342,N,stimD,fwn1_25,216
343,G,stimC,fwn1_25,211
344,N,stimD,fwn1_25,214
345,G,stimC,fwn1_25,236
346,N,stimD,fwn1_25,166
347,G,stimC,fwn1_25,247
348,G,stimC,fwn1_25,212
349,N,stimD,fwn1_25,170
350,G,stimC,fwn1_25,223
351,N,fwn1_25,stimD,176
352,G,fwn1_25,stimC,243
353,N,fwn1_25,stimD,202
354,N,fwn1_25,stimD,231
355,G,fwn1_25,stimC,247
356,N,fwn1_25,stimD,187
357,G,fwn1_25,stimC,245
358,N,fwn1_25,stimD,173
359,G,fwn1_25,stimC,243
360,G,fwn1_25,stimC,237
361,G,fwn1_25,stimC,194
362,N,fwn1_25,stimD,231
363,G,fwn1_25,stimC,201
364,G,fwn1_25,stimC,179
365,N,fwn1_25,stimD,192
366,N,fwn1_25,stimD,216
367,G,fwn1_25,stimC,182
368,G,fwn1_25,stimC,246
369,N,fwn1_25,stimD,191
370,N,fwn1_25,stimD,246
371,G,fwn1_25,stimC,185
372,N,fwn1_25,stimD,179
373,G,fwn1_25,stimC,193
374,N,fwn1_25,stimD,244
375,N,fwn1_25,stimD,158
376,G,fwn1_25,stimC,151
377,G,fwn1_25,stimC,231
378,G,fwn1_25,stimC,177
379,N,fwn1_25,stimD,159
380,N,fwn1_25,stimD,206
381,G,fwn1_25,stimC,227
382,G,fwn1_25,stimC,152
383,G,fwn1_25,stimC,229
384,N,fwn1_25,stimD,209
385,G,fwn1_25,stimC,182
386,N,fwn1_25,stimD,151
387,N,fwn1_25,stimD,218
388,G,fwn1_25,stimC,230
389,N,fwn1_25,stimD,222
390,N,fwn1_25,stimD,157
391,N,fwn1_25,stimD,157
392,G,fwn1_25,stimC,159
393,G,fwn1_25,stimC,168
394,G,fwn1_25,stimC,204
395,N,fwn1_25,stimD,158
396,N,fwn1_25,stimD,232
397,G,fwn1_25,stimC,241
398,N,fwn1_25,stimD,237
399,G,fwn1_25,stimC,226
400,N,fwn1_25,stimD,155
401,N,stimD,fwn1_25,183
402,G,stimC,fwn1_25,186
403,N,stimD,fwn1_25,187
404,G,stimC,fwn1_25,199
405,N,stimD,fwn1_25,181
406,G,stimC,fwn1_25,157
407,G,stimC,fwn1_25,247
408,N,stimD,fwn1_25,161
409,N,stimD,fwn1_25,227
410,G,stimC,fwn1_25,247
411,N,stimD,fwn1_25,198
412,N,stimD,fwn1_25,224
413,G,stimC,fwn1_25,237
414,G,stimC,fwn1_25,210
415,N,stimD,fwn1_25,241
416,N,stimD,fwn1_25,196
417,G,stimC,fwn1_25,199
418,G,stimC,fwn1_25,165
419,N,stimD,fwn1_25,155
420,G,stimC,fwn1_25,189
421,N,stimD,fwn1_25,222
422,N,stimD,fwn1_25,213
423,G,stimC,fwn1_25,200
424,N,stimD,fwn1_25,231
425,G,stimC,fwn1_25,178
426,G,stimC,fwn1_25,185
427,N,stimD,fwn1_25,175
428,N,stimD,fwn1_25,215
429,G,stimC,fwn1_25,197
430,G,stimC,fwn1_25,176
431,G,stimC,fwn1_25,222
432,G,stimC,fwn1_25,220
433,N,stimD,fwn1_25,207
434,N,stimD,fwn1_25,172
435,G,stimC,fwn1_25,175
436,G,stimC,fwn1_25,192
437,N,stimD,fwn1_25,218
438,N,stimD,fwn1_25,162
439,G,stimC,fwn1_25,152
440,N,stimD,fwn1_25,164
441,G,stimC,fwn1_25,177
442,N,stimD,fwn1_25,172
443,G,stimC,fwn1_25,177
444,N,stimD,fwn1_25,205
445,G,stimC,fwn1_25,205
446,N,stimD,fwn1_25,161
447,N,stimD,fwn1_25,193
448,G,stimC,fwn1_25,242
449,G,stimC,fwn1_25,202
450,N,stimD,fwn1_25,220
451,G,fwn1_25,stimC,206
452,N,fwn1_25,stimD,248
453,N,fwn1_25,stimD,204
454,G,fwn1_25,stimC,150
455,G,fwn1_25,stimC,214
456,G,fwn1_25,stimC,211
457,N,fwn1_25,stimD,234
458,N,fwn1_25,stimD,217
459,N,fwn1_25,stimD,153
460,G,fwn1_25,stimC,207
461,N,fwn1_25,stimD,199
462,G,fwn1_25,stimC,231
463,G,fwn1_25,stimC,171
464,G,fwn1_25,stimC,181
465,N,fwn1_25,stimD,211
466,N,fwn1_25,stimD,245
467,N,fwn1_25,stimD,183
468,G,fwn1_25,stimC,152
469,G,fwn1_25,stimC,246
470,N,fwn1_25,stimD,208
471,N,fwn1_25,stimD,166
472,N,fwn1_25,stimD,188
473,G,fwn1_25,stimC,210
474,N,fwn1_25,stimD,209
475,N,fwn1_25,stimD,177
476,N,fwn1_25,stimD,150
477,G,fwn1_25,stimC,220
478,G,fwn1_25,stimC,242
479,G,fwn1_25,stimC,209
480,G,fwn1_25,stimC,214
481,N,fwn1_25,stimD,228
482,G,fwn1_25,stimC,198
483,G,fwn1_25,stimC,233
484,N,fwn1_25,stimD,226
485,N,fwn1_25,stimD,221
486,G,fwn1_25,stimC,249
487,N,fwn1_25,stimD,245
488,G,fwn1_25,stimC,193
489,G,fwn1_25,stimC,195
490,N,fwn1_25,stimD,243
491,G,fwn1_25,stimC,152
492,N,fwn1_25,stimD,222
493,N,fwn1_25,stimD,183
494,N,fwn1_25,stimD,242
495,G,fwn1_25,stimC,228
496,G,fwn1_25,stimC,239
497,G,fwn1_25,stimC,186
498,G,fwn1_25,stimC,235
499,N,fwn1_25,stimD,216
500,N,fwn1_25,stimD,245
501,N,stimD,fwn1_25,170
502,G,stimC,fwn1_25,185
503,N,stimD,fwn1_25,205
504,G,stimC,fwn1_25,204
505,N,stimD,fwn1_25,159
506,G,stimC,fwn1_25,200
507,G,stimC,fwn1_25,235
508,N,stimD,fwn1_25,167
509,N,stimD,fwn1_25,173
510,G,stimC,fwn1_25,186
511,G,stimC,fwn1_25,240
512,G,stimC,fwn1_25,242
513,N,stimD,fwn1_25,189
514,G,stimC,fwn1_25,214
515,N,stimD,fwn1_25,243
516,N,stimD,fwn1_25,157
517,G,stimC,fwn1_25,214
518,N,stimD,fwn1_25,151
519,G,stimC,fwn1_25,194
520,N,stimD,fwn1_25,194
521,N,stimD,fwn1_25,195
522,N,stimD,fwn1_25,164
523,G,stimC,fwn1_25,163
524,N,stimD,fwn1_25,167
525,G,stimC,fwn1_25,242
526,G,stimC,fwn1_25,220
527,G,stimC,fwn1_25,199
528,N,stimD,fwn1_25,221
529,N,stimD,fwn1_25,169
530,G,stimC,fwn1_25,189
531,G,stimC,fwn1_25,173
532,G,stimC,fwn1_25,250
533,N,stimD,fwn1_25,161
534,N,stimD,fwn1_25,240
535,G,stimC,fwn1_25,175
536,G,stimC,fwn1_25,171
537,N,stimD,fwn1_25,171
538,N,stimD,fwn1_25,212
539,G,stimC,fwn1_25,168
540,N,stimD,fwn1_25,195
541,N,stimD,fwn1_25,195
542,N,stimD,fwn1_25,217
543,G,stimC,fwn1_25,169
544,N,stimD,fwn1_25,208
545,N,stimD,fwn1_25,173
546,G,stimC,fwn1_25,216
547,G,stimC,fwn1_25,193
548,G,stimC,fwn1_25,187
549,N,stimD,fwn1_25,215
550,G,stimC,fwn1_25,155
551,N,fwn1_25,stimD,208
552,G,fwn1_25,stimC,178
553,N,fwn1_25,stimD,213
554,G,fwn1_25,stimC,228
555,N,fwn1_25,stimD,166
556,N,fwn1_25,stimD,200
557,G,fwn1_25,stimC,154
558,G,fwn1_25,stimC,246
559,G,fwn1_25,stimC,169
560,N,fwn1_25,stimD,177
561,G,fwn1_25,stimC,209
562,N,fwn1_25,stimD,202
563,G,fwn1_25,stimC,239
564,G,fwn1_25,stimC,175
565,N,fwn1_25,stimD,188
566,N,fwn1_25,stimD,193
567,G,fwn1_25,stimC,233
568,G,fwn1_25,stimC,164
569,N,fwn1_25,stimD,170
570,N,fwn1_25,stimD,236
571,N,fwn1_25,stimD,213
572,G,fwn1_25,stimC,150
573,N,fwn1_25,stimD,250
574,N,fwn1_25,stimD,249
575,G,fwn1_25,stimC,175
576,N,fwn1_25,stimD,218
577,N,fwn1_25,stimD,195
578,G,fwn1_25,stimC,180
579,G,fwn1_25,stimC,189
580,G,fwn1_25,stimC,227
581,N,fwn1_25,stimD,186
582,G,fwn1_25,stimC,182
583,N,fwn1_25,stimD,214
584,G,fwn1_25,stimC,226
585,N,fwn1_25,stimD,204
586,N,fwn1_25,stimD,201
587,G,fwn1_25,stimC,243
588,G,fwn1_25,stimC,200
589,N,fwn1_25,stimD,203
590,G,fwn1_25,stimC,242
591,G,fwn1_25,stimC,204
592,G,fwn1_25,stimC,164
593,G,fwn1_25,stimC,236
594,N,fwn1_25,stimD,187
595,N,fwn1_25,stimD,151
596,G,fwn1_25,stimC,186
597,N,fwn1_25,stimD,189
598,N,fwn1_25,stimD,196
599,G,fwn1_25,stimC,208
600,N,fwn1_25,stimD,178
601,N,stimD,fwn1_25,243
602,G,stimC,fwn1_25,174
603,G,stimC,fwn1_25,158
604,N,stimD,fwn1_25,185
605,N,stimD,fwn1_25,194
606,G,stimC,fwn1_25,186
607,N,stimD,fwn1_25,158
608,G,stimC,fwn1_25,194
609,N,stimD,fwn1_25,241
610,G,stimC,fwn1_25,246
611,G,stimC,fwn1_25,167
612,G,stimC,fwn1_25,204
613,N,stimD,fwn1_25,170
614,N,stimD,fwn1_25,150
615,N,stimD,fwn1_25,155
616,G,stimC,fwn1_25,223
617,G,stimC,fwn1_25,207
618,G,stimC,fwn1_25,246
619,N,stimD,fwn1_25,210
620,N,stimD,fwn1_25,249
621,N,stimD,fwn1_25,215
622,G,stimC,fwn1_25,172
623,G,stimC,fwn1_25,179
624,G,stimC,fwn1_25,232
625,G,stimC,fwn1_25,178
626,N,stimD,fwn1_25,236
627,G,stimC,fwn1_25,182
628,N,stimD,fwn1_25,241
629,N,stimD,fwn1_25,176
630,N,stimD,fwn1_25,217
631,N,stimD,fwn1_25,207
632,G,stimC,fwn1_25,204
633,G,stimC,fwn1_25,163
634,N,stimD,fwn1_25,224
635,N,stimD,fwn1_25,212
636,N,stimD,fwn1_25,211
637,G,stimC,fwn1_25,203
638,G,stimC,fwn1_25,201
639,N,stimD,fwn1_25,159
640,G,stimC,fwn1_25,179
641,G,stimC,fwn1_25,218
642,N,stimD,fwn1_25,156
643,N,stimD,fwn1_25,250
644,N,stimD,fwn1_25,195
645,G,stimC,fwn1_25,185
646,N,stimD,fwn1_25,199
647,N,stimD,fwn1_25,202
648,G,stimC,fwn1_25,202
649,G,stimC,fwn1_25,178
650,G,stimC,fwn1_25,198
651,N,fwn1_25,stimD,155
652,G,fwn1_25,stimC,248
653,N,fwn1_25,stimD,188
654,N,fwn1_25,stimD,220
655,N,fwn1_25,stimD,237
656,G,fwn1_25,stimC,167
657,N,fwn1_25,stimD,184
658,G,fwn1_25,stimC,150
659,G,fwn1_25,stimC,197
660,G,fwn1_25,stimC,244
661,N,fwn1_25,stimD,189
662,G,fwn1_25,stimC,157
663,G,fwn1_25,stimC,166
664,G,fwn1_25,stimC,245
665,N,fwn1_25,stimD,150
666,G,fwn1_25,stimC,156
667,G,fwn1_25,stimC,241
668,N,fwn1_25,stimD,199
669,N,fwn1_25,stimD,239
670,N,fwn1_25,stimD,171
671,N,fwn1_25,stimD,221
672,G,fwn1_25,stimC,171
673,G,fwn1_25,stimC,228
674,G,fwn1_25,stimC,202
675,G,fwn1_25,stimC,212
676,N,fwn1_25,stimD,199
677,N,fwn1_25,stimD,232
678,N,fwn1_25,stimD,177
679,N,fwn1_25,stimD,241
680,G,fwn1_25,stimC,182
681,N,fwn1_25,stimD,189
682,G,fwn1_25,stimC,162
683,G,fwn1_25,stimC,238
684,N,fwn1_25,stimD,213
685,N,fwn1_25,stimD,215
686,N,fwn1_25,stimD,189
687,G,fwn1_25,stimC,201
688,N,fwn1_25,stimD,158
689,G,fwn1_25,stimC,180
690,G,fwn1_25,stimC,176
691,N,fwn1_25,stimD,212
692,N,fwn1_25,stimD,193
693,N,fwn1_25,stimD,173
694,N,fwn1_25,stimD,203
695,N,fwn1_25,stimD,248
696,G,fwn1_25,stimC,244
697,G,fwn1_25,stimC,243
698,G,fwn1_25,stimC,183
699,G,fwn1_25,stimC,230
700,G,fwn1_25,stimC,214
701,G,stimC,fwn1_25,153
702,G,stimC,fwn1_25,240
703,N,stimD,fwn1_25,182
704,N,stimD,fwn1_25,179
705,G,stimC,fwn1_25,240
706,N,stimD,fwn1_25,159
707,N,stimD,fwn1_25,194
708,G,stimC,fwn1_25,229
709,N,stimD,fwn1_25,224
710,G,stimC,fwn1_25,171
711,G,stimC,fwn1_25,161
712,N,stimD,fwn1_25,167
713,G,stimC,fwn1_25,229
714,G,stimC,fwn1_25,196
715,N,stimD,fwn1_25,235
716,N,stimD,fwn1_25,244
717,G,stimC,fwn1_25,222
718,G,stimC,fwn1_25,225
719,N,stimD,fwn1_25,243
720,N,stimD,fwn1_25,153
721,N,stimD,fwn1_25,199
722,G,stimC,fwn1_25,161
723,G,stimC,fwn1_25,191
724,N,stimD,fwn1_25,247
725,G,stimC,fwn1_25,188
726,G,stimC,fwn1_25,222
727,N,stimD,fwn1_25,171
728,N,stimD,fwn1_25,215
729,N,stimD,fwn1_25,201
730,G,stimC,fwn1_25,161
731,N,stimD,fwn1_25,211
732,N,stimD,fwn1_25,162
733,G,stimC,fwn1_25,208
734,G,stimC,fwn1_25,162
735,N,stimD,fwn1_25,212
736,N,stimD,fwn1_25,220
737,G,stimC,fwn1_25,201
738,G,stimC,fwn1_25,151
739,G,stimC,fwn1_25,227
740,N,stimD,fwn1_25,220
741,N,stimD,fwn1_25,158
742,N,stimD,fwn1_25,173
743,G,stimC,fwn1_25,162
744,G,stimC,fwn1_25,241
745,N,stimD,fwn1_25,225
746,G,stimC,fwn1_25,176
747,G,stimC,fwn1_25,250
748,N,stimD,fwn1_25,227
749,G,stimC,fwn1_25,164
750,N,stimD,fwn1_25,167
751,N,fwn1_25,stimD,157
752,G,fwn1_25,stimC,248
753,G,fwn1_25,stimC,199
754,N,fwn1_25,stimD,168
755,N,fwn1_25,stimD,235
756,N,fwn1_25,stimD,182
757,N,fwn1_25,stimD,197
758,G,fwn1_25,stimC,162
759,G,fwn1_25,stimC,184
760,G,fwn1_25,stimC,244
761,N,fwn1_25,stimD,232
762,G,fwn1_25,stimC,167
763,G,fwn1_25,stimC,229
764,N,fwn1_25,stimD,174
765,G,fwn1_25,stimC,188
766,N,fwn1_25,stimD,215
767,N,fwn1_25,stimD,170
768,N,fwn1_25,stimD,214
769,G,fwn1_25,stimC,152
770,G,fwn1_25,stimC,228
771,G,fwn1_25,stimC,200
772,G,fwn1_25,stimC,209
773,G,fwn1_25,stimC,250
774,G,fwn1_25,stimC,183
775,N,fwn1_25,stimD,181
776,N,fwn1_25,stimD,241
777,N,fwn1_25,stimD,200
778,G,fwn1_25,stimC,203
779,N,fwn1_25,stimD,224
780,N,fwn1_25,stimD,228
781,N,fwn1_25,stimD,198
782,N,fwn1_25,stimD,162
783,G,fwn1_25,stimC,217
784,G,fwn1_25,stimC,184
785,G,fwn1_25,stimC,228
786,N,fwn1_25,stimD,238
787,N,fwn1_25,stimD,245
788,G,fwn1_25,stimC,212
789,N,fwn1_25,stimD,215
790,G,fwn1_25,stimC,248
791,N,fwn1_25,stimD,161
792,G,fwn1_25,stimC,219
793,N,fwn1_25,stimD,156
794,N,fwn1_25,stimD,231
795,N,fwn1_25,stimD,210
796,G,fwn1_25,stimC,172
797,G,fwn1_25,stimC,240
798,G,fwn1_25,stimC,200
799,G,fwn1_25,stimC,182
800,N,fwn1_25,stimD,189
801,N,stimD,fwn1_25,201
802,N,stimD,fwn1_25,157
803,N,stimD,fwn1_25,174
804,G,stimC,fwn1_25,211
805,G,stimC,fwn1_25,208
806,G,stimC,fwn1_25,202
807,N,stimD,fwn1_25,173
808,N,stimD,fwn1_25,228
809,G,stimC,fwn1_25,249
810,G,stimC,fwn1_25,226
811,G,stimC,fwn1_25,217
812,N,stimD,fwn1_25,185
813,N,stimD,fwn1_25,184
814,G,stimC,fwn1_25,176
815,G,stimC,fwn1_25,211
816,G,stimC,fwn1_25,206
817,N,stimD,fwn1_25,218
818,N,stimD,fwn1_25,188
819,N,stimD,fwn1_25,196
