Item1,Item2
2195825855,266207
2196918435,266208
2198009992,266209
2199102573,266210
2200195147,266211
2201286703,266212
2202379285,266213
2203470840,266214
2204563421,266215
2205656002,266216
2206748771,266217
2207840323,266218
2208932910,266219
2210025483,266220
2211117040,266221
2212209621,266222
2213301178,266223
2215180190,266224
2216272771,266225
2217364321,266226
2218457091,266227
2219549679,266228
2220641228,266229
2221733810,266230
2222826391,266231
2223917940,266232
2225010527,266233
2226103110,266234
2227194659,266235
2228287240,266236
2229379821,266237
2230471560,266238
2231564146,266239
2232656727,266240
2233748278,266241
2234840859,266242
2235933446,266243
2237024996,266244
2238117577,266245
2239210159,266246
2240301897,266247
2241394484,266248
2242487065,266249
2243578614,266250
2244671196,266251
2245763777,266252
2246855333,266253
2248734346,266254
2249826928,266255
2250918477,266256
2252011247,266257
2253103834,266258
2254195384,266259
2255287965,266260
2256380547,266261
2257472096,266262
2258564683,266263
2259657265,266264
2260748814,266265
2261841394,266266
2262933977,266267
2264025532,266268
2265118301,266269
2266210884,266270
2267302433,266271
2268395014,266272
2269487602,266273
2270579151,266274
2271671732,266275
2272764272,266276
2273855868,266277
2274948633,266278
2276041221,266279
2277132769,266280
2278225351,266281
2279317933,266282
2280409487,266283
2282288502,266284
2283381074,266285
2284472632,266286
2285565212,266287
2286657983,266288
2287749539,266289
2288842120,266290
2289934693,266291
2291026250,266292
2292118832,266293
2293211412,266294
2294302969,266295
2295395550,266296
2296488130,266297
2297579688,266298
2298672458,266299
2299765030,266300
2300856588,266301
2301949169,266302
2303041748,266303
2304133306,266304
2305225887,266305
2306318461,266306
2307410024,266307
2308502794,266308
2309595368,266309
2310686924,266310
2311779506,266311
2312872085,266312
2313963637,266313
2315842657,266314
2316935230,266315
2318026787,266316
2319119369,266317
2320210924,266318
2321303694,266319
2322396275,266320
2323488849,266321
2324580405,266322
2325672994,266323
2326764542,266324
2327857123,266325
2328949706,266326
2330041255,266327
2331134024,266328
2332226613,266329
2333319186,266330
2334410743,266331
2335503324,266332
2336594880,266333
2337687462,266334
2338780043,266335
2339871592,266336
2340964179,266337
2342056760,266338
2343148499,266339
2344241079,266340
2345333662,266341
2346425211,266342
2347517799,266343
2349396812,266344
2350488361,266345
2351580942,266346
2352673529,266347
2353765078,266348
2354857660,266349
2355950431,266350
2357041984,266351
2358134561,266352
2359227143,266353
2360318698,266354
2361411280,266355
2362503860,266356
2363595416,266357
2364687998,266358
2365780767,266359
2366872316,266360
2367964898,266361
2369057480,266362
2370149035,266363
2371241617,266364
2372334198,266365
2373425746,266366
2374518329,266367
2375610916,266368
2376702653,266369
2377795236,266370
2378887816,266371
2379979366,266372
2381071953,266373
2382950966,266374
2384042515,266375
2385135098,266376
2386227679,266377
2387319234,266378
2388411815,266379
2389504349,266380
2390596135,266381
2391688717,266382
2392781304,266383
2393872853,266384
2394965435,266385
2396057974,266386
2397149565,266387
2398242152,266388
2399334922,266389
2400426471,266390
2401519054,266391
2402611634,266392
2403703190,266393
